subject_id,name,pool,origin_group,gender,birth_date,birth_time,rodden_rating,birth_source_quality,career_positive_years,career_negative_years,events_total,high_conf_events,medium_conf_events,engine_birth_year_supported
MLV2_DEV_001,Aaron Eckhart,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1968-03-12,18:50,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_002,Abigail Johnson,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1961-12-19,14:45,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_003,Jennifer Aniston,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1969-02-11,22:22,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_004,Jennifer Coolidge,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1961-06-01,13:09,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_005,Julia Roberts,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1967-10-28,00:16,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_006,Julianne Moore,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1960-12-03,17:53,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_007,Julie Delpy,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1969-12-21,22:40,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_008,Jenna Elfman,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1971-09-30,17:50,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_009,Katy Perry,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1984-10-25,07:58,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_010,Amber Tamblyn,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,female,1983-05-14,04:45,AA,Rodden_AA_via_VedAstro,2,1,3,2,1,True
MLV2_DEV_011,Antonio Banderas,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1960-08-10,21:00,AA,Rodden_AA_via_VedAstro,2,1,3,3,0,True
MLV2_DEV_012,Billy Crystal,NEW_DEV,PRIOR_UNUSED_PUBLIC_CANDIDATE,male,1948-03-14,07:48,AA,Rodden_AA_via_VedAstro,2,1,3,1,2,True
